水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅳ类,30.5,7.57,3.12,598.1,37.2,4.58,0.983,0.172,2.25
Ⅳ类,29.8,7.62,4.93,273.4,33.0,2.11,0.056,0.076,1.33
劣Ⅵ类,29.2,7.24,1.41,577.0,36.0,7.91,1.923,0.304,3.97
Ⅳ类,29.4,7.53,3.72,313.1,21.7,3.47,0.543,0.128,1.88
Ⅴ类,31.0,7.33,2.74,317.6,3.9,2.9,0.415,0.082,1.15
Ⅳ类,30.3,7.33,3.11,321.0,27.8,2.93,0.057,0.116,2.06
劣Ⅵ类,29.7,7.33,1.5,447.3,28.8,4.6,0.601,0.141,2.52
Ⅱ类,30.5,8.45,9.85,322.9,36.8,2.86,0.01,0.076,1.72
劣Ⅵ类,29.7,7.33,1.32,404.3,9.3,3.31,1.044,0.214,2.25
Ⅱ类,30.3,7.94,6.83,307.9,47.4,2.24,0.024,0.076,1.74
Ⅴ类,30.7,7.03,2.34,372.1,21.3,3.1,0.068,0.121,1.56
Ⅲ类,30.0,8.11,5.52,849.9,21.3,3.8,0.102,0.11,2.04
Ⅴ类,31.7,8.76,13.29,726.9,21.5,10.18,0.236,0.116,2.81
Ⅳ类,30.4,7.65,4.7,663.7,35.1,7.1,0.08,0.277,2.77
Ⅴ类,30.9,7.28,2.31,585.6,13.2,6.58,1.445,0.286,3.39
Ⅳ类,30.1,8.84,15.25,1271.1,11.5,6.88,0.074,0.067,1.48
Ⅴ类,29.9,7.42,4.82,625.0,17.8,10.27,0.663,0.319,4.79
Ⅱ类,30.9,7.8,6.67,242.6,23.8,2.92,0.091,0.07,2.48
Ⅳ类,31.8,7.08,3.26,220.4,8.1,3.1,0.208,0.07,3.15
Ⅱ类,27.8,7.32,8.61,124.4,12.0,1.78,0.021,0.048,1.39
Ⅱ类,16.9,7.15,6.06,146.2,6.5,1.11,0.008,0.028,0.87
Ⅱ类,29.2,7.47,6.55,186.2,15.4,3.14,0.044,0.064,1.85
Ⅴ类,33.2,7.16,2.5,304.6,32.2,2.74,0.12,0.125,2.21
劣Ⅵ类,30.0,9.02,10.8,106.7,1.3,1.51,0.011,0.043,1.08
Ⅳ类,32.8,7.36,3.97,355.9,28.5,4.96,0.055,0.118,3.02
Ⅲ类,34.5,7.52,5.9,213.6,25.4,2.43,0.087,0.072,2.28
Ⅳ类,34.3,8.89,8.77,130.6,17.2,5.18,0.031,0.054,0.91
Ⅳ类,33.6,7.22,3.3,225.2,36.0,3.78,0.257,0.126,2.53
Ⅰ类,27.0,7.1,7.78,47.7,30.1,1.64,0.014,0.019,0.7
Ⅲ类,29.1,6.5,5.93,78.0,40.0,1.17,0.05,0.044,1.52
Ⅳ类,29.1,7.91,4.64,19240.0,1542.0,1.97,0.249,0.135,1.72
Ⅱ类,32.1,8.15,9.15,69.3,14.3,0.35,0.014,0.021,1.02
Ⅱ类,31.5,7.93,8.59,47.3,5.3,2.08,0.024,0.017,0.79
Ⅴ类,29.8,8.25,2.95,2040.8,356.5,1.39,0.002,0.091,1.51
Ⅱ类,31.1,7.9,6.34,47570.0,408.2,2.0,0.428,0.071,1.91
Ⅳ类,32.8,7.24,3.39,607.0,30.4,5.58,0.404,0.11,2.62
Ⅲ类,31.9,8.03,8.48,608.1,14.0,2.74,0.046,0.108,0.7
Ⅳ类,33.3,7.07,3.22,500.8,22.3,4.58,0.086,0.1,1.72
