水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
劣Ⅵ类,27.7,7.27,1.97,878.8,28.1,8.67,1.051,0.203,4.13
劣Ⅵ类,26.2,7.15,0.64,868.7,19.7,7.45,1.777,0.323,4.42
Ⅳ类,28.6,7.87,4.42,767.7,25.4,3.27,0.038,0.106,1.3
劣Ⅵ类,27.4,7.36,0.36,1359.2,64.2,6.26,1.273,0.418,4.14
Ⅳ类,27.4,7.75,5.22,447.6,206.7,6.23,0.194,0.135,2.73
Ⅲ类,32.4,7.87,6.07,522.7,63.3,5.85,0.332,0.116,2.47
Ⅴ类,28.2,7.14,2.9,699.6,49.5,7.19,1.57,0.218,4.16
Ⅴ类,29.4,7.14,2.06,541.3,33.2,6.33,1.035,0.231,2.91
Ⅴ类,29.9,7.51,2.09,597.9,33.0,4.62,1.061,0.193,2.24
Ⅳ类,29.6,7.57,4.71,281.2,45.3,2.41,0.1,0.079,1.42
劣Ⅵ类,29.0,7.24,1.3,578.2,33.0,7.67,1.87,0.299,3.61
Ⅳ类,29.0,7.5,3.21,323.9,40.6,2.85,0.233,0.097,1.58
劣Ⅵ类,30.1,7.26,1.48,321.2,3.6,2.93,0.46,0.085,1.21
Ⅳ类,29.7,7.33,3.14,326.1,23.0,2.79,0.054,0.111,1.92
劣Ⅵ类,29.5,7.33,1.47,442.0,38.6,4.65,0.587,0.135,2.44
Ⅱ类,29.7,7.88,6.96,326.1,38.2,2.34,0.01,0.06,1.69
劣Ⅵ类,29.4,7.31,0.81,428.2,9.6,3.16,1.155,0.215,2.42
Ⅱ类,29.5,7.84,6.03,306.7,44.9,2.13,0.028,0.075,1.7
劣Ⅵ类,29.9,6.91,1.37,374.2,22.2,2.88,0.092,0.125,1.72
Ⅳ类,29.0,7.96,4.33,857.7,24.9,4.01,0.112,0.114,2.16
Ⅳ类,30.2,8.11,7.47,741.9,21.2,8.32,0.526,0.1,2.87
Ⅴ类,29.6,7.54,2.69,655.3,33.9,6.93,0.195,0.285,2.54
劣Ⅵ类,29.8,7.24,0.86,583.8,15.2,6.72,1.561,0.287,3.36
Ⅲ类,29.9,8.7,9.69,1276.5,10.3,5.91,0.198,0.069,1.35
Ⅴ类,29.1,7.39,4.06,738.4,18.2,9.91,0.79,0.32,4.78
Ⅳ类,30.0,7.44,4.68,259.4,19.8,2.93,0.133,0.067,2.54
Ⅳ类,31.7,7.07,4.3,218.1,53.1,3.1,0.208,0.073,3.24
Ⅱ类,25.3,7.12,6.24,144.7,20.8,1.68,0.02,0.038,1.61
Ⅲ类,17.5,7.13,5.9,154.2,10.5,1.15,0.002,0.018,0.85
